player,ranked_ctf_games,ranked_nf_games,casual_games,time_of_day,day_of_week,avg_per_day,grab_on_0d,grab_on_1d,grab_on_2d,grab_on_3d,grab_on_4d,hold_pm,prevent_pm,pup_pct,hold_during_pups,tp_pct,rb_pct,jj_pct,kiss_pct,button_per_minute,block_per_minute,dc_pct
"HvN Piercer",144,393,0,oo..____________.....o.o,o.O....,8.471,0.437,0.283,0.244,0.035,0.002,7.749,7.982,0.173,0.092,0.401,0.271,0.328,0.079,0.752,11.827,0.000
"Cape",45,77,0,..__________________oOOo,_.oOo..,4.091,0.494,0.252,0.221,0.028,0.005,10.550,6.594,0.184,0.146,0.443,0.311,0.245,0.096,1.423,9.929,0.000
"crux",16,46,0,o___________.___.ooooo__,ooo_O__,2.667,0.440,0.231,0.286,0.033,0.011,8.555,9.802,0.194,0.136,0.350,0.200,0.450,0.132,0.677,8.229,0.000
"Xylene",218,188,0,.______________..ooo.o..,..oooO.,7.517,0.450,0.265,0.250,0.030,0.004,7.810,7.799,0.143,0.142,0.264,0.381,0.356,0.071,0.724,11.538,0.000
"known",335,303,0,o._____________..___.ooo,.ooo.o_,8.590,0.487,0.246,0.235,0.030,0.001,8.515,8.373,0.143,0.143,0.263,0.337,0.399,0.071,0.592,10.271,0.003
"Thrust",35,0,0,______________o_____.oOO,._oo..O,2.500,0.659,0.187,0.142,0.011,0.000,7.787,8.035,0.164,0.091,0.243,0.473,0.284,0.113,1.285,10.954,0.000
"churt chimi",50,63,0,___________.oo.o.oo_____,o.o.._o,5.556,0.528,0.226,0.225,0.015,0.006,12.601,4.585,0.168,0.202,0.330,0.385,0.284,0.084,0.591,9.748,0.040
"POWER",46,84,0,_o___________ooo.o.__.__,oo....o,3.286,0.471,0.245,0.252,0.032,0.000,12.662,2.945,0.135,0.231,0.386,0.217,0.398,0.065,0.466,11.839,0.022
"Nas",186,502,0,oo.______________.ooo...,.o..oo.,6.000,0.514,0.248,0.203,0.031,0.003,6.806,11.190,0.091,0.110,0.299,0.318,0.383,0.088,0.940,10.079,0.005
"blah-zay",184,377,0,ooo._________..o...____o,..O..o.,4.279,0.445,0.244,0.273,0.034,0.004,10.100,4.316,0.125,0.186,0.281,0.342,0.377,0.080,1.288,12.207,0.016
"amadeo",504,77,0,____________..oooooo____,_.ooOo_,15.273,0.495,0.248,0.227,0.028,0.002,9.359,7.369,0.155,0.136,0.350,0.332,0.317,0.078,0.908,10.690,0.016
