=== ALL-TIME RANKED TAGPRO TEAM RECORDS ===

## FULL GAME RECORDS (Including Overtime)

### HIGHS

#### Captures
  Match 4061460: joy., Taurus, Prime, BallsToYou. - 12 (Win)
  Match 4113726: xcv, snaxolotl, rain, joy. - 12 (Win)
  Match 4011643: 11th Cmndmnt, SilentOne, megapoop22, praopraoprao - 11 (Win)
  Match 4094574: A Straw Hat, Barbara Bush, Dayman, Goofy Goober - 11 (Win)
  Match 3944014: Ceremony, sieh, jerm, Marijuana - 11 (Win)
  Match 4040549: Jarek, MURF, I <3 Emacs, iiiiiiiiii - 11 (Win)
  Match 4059872: K O, zo2, Doris, wallsquirrel - 11 (Win)
  Match 3982233: LewBird, heribo69, cantab, KALX - 11 (Win)
  Match 4000336: Light, TheYoungWolf, Mystic, Enervate - 11 (Win)
  Match 4097398: Messi, BALLDON'TLIE, zo2, Russ - 11 (Win)
  Match 4029481: NameLEss, jkxs, yawn, `ArryKane - 11 (Win)
  Match 4098051: Penis Wings, trash panda, SmallyBigs, nej - 11 (Win)
  Match 4109050: TaylorWhiff, CoolHandJuke, Chritt, RUFUS DU SOL - 11 (Win)
  Match 4053377: aardvark, LewBird, Roxas, Mystic - 11 (Win)
  Match 3966273: ish, memnite, Marijuana, Dragon  Ball - 11 (Win)
  Match 4140314: mactheroni, K O, Ragnar, nej - 11 (Win)
  Match 4141937: whiff, mactheroni, karma, CRYCHIC - 11 (Win)
  Match 4061460: LogisticMap, karma, Junoon, snaxolotl - 10 (Loss)
  Match 4053377: TheG, skibbity, jjpoole, AJ. - 10 (Loss)
  Match 3934742: A-N-O-M, Euler, Ann with a E, fender - 9 (Loss)
  Match 4030314: Abe Lincoln, Snowball, BallsToYou., Maelstrom - 9 (Loss)
  Match 4085230: Barbara Bush, Marijuana, twelvefive, SmallyBigs - 9 (Loss)
  Match 4029904: D Rek, cantab, Poppenheimer, Ann with a E - 9 (Loss)
  Match 3972792: adawg, xcv, DEAD NAN, o o l e r - 9 (Loss)

#### Tags
  Match 3990757: Mystic, PuyoPuyo, Exsufflicate, Marijuana - 127 (Loss)
  Match 3990757: CL0UD, GregPopabish, umad, sinagot - 121 (Win)
